Suburb,Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount
Abbotsford,1,u,441000,SP,2.5,1,1,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1310000,S,2.5,2,1,2,238,97,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1200000,S,2.5,3,2,1,113,110,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,t,847000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1176500,S,2.5,2,1,1,138,105,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,955000,S,2.5,3,1,0,183,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,890000,S,2.5,2,1,1,150,73,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1330000,PI,2.5,4,2,2,780,135,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,t,900000,S,2.5,3,2,2,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,u,1090000,S,2.5,3,2,2,4290,27,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,500000,S,2.5,2,1,1,0,60,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1100000,PI,2.5,2,2,1,124,135,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1315000,S,2.5,2,1,0,147,85,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,480000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,423500,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,426000,SP,2.5,1,1,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1447500,PI,2.5,3,3,1,166,174,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,457000,S,2.5,1,1,1,0,50,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1135000,S,2.5,2,2,2,98,128,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,700000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1542000,S,2.5,4,3,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,t,962000,SP,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1290000,S,2.5,3,2,2,147,18,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1290000,S,2.5,3,1,1,168,124,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,470000,S,2.5,1,1,1,0,50,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1180000,S,2.5,2,1,0,162,91,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1195000,SP,2.5,3,2,1,120,128,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1012500,S,2.5,2,1,0,182,82,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,970000,SP,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1030000,S,2.5,2,1,1,172,81,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,927000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Airport West,3,t,840000,PI,13.5,3,2,1,303,225,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,730000,VB,13.5,3,2,1,0,145,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,770000,SP,13.5,3,2,1,0,145,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,h,603000,S,13.5,2,1,1,272,84,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,700000,S,13.5,3,2,2,239,134,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,600000,S,13.5,2,1,1,290,116,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,500000,VB,13.5,2,1,1,168,86,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,420000,VB,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,500000,VB,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,5,h,1035000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,960000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,960000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,720000,S,13.5,2,1,1,620,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,785000,S,13.5,3,1,2,597,127,Moonee Valley City Council,Western Metropolitan,3464
Airport West,6,h,725000,SP,13.5,6,3,2,976,186,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,450000,S,13.5,2,1,1,110,90,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,515000,S,13.5,2,1,1,141,73,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,680000,VB,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,530000,S,13.5,2,1,1,120,94,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,895000,PI,13.5,3,1,6,1063,133,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,600000,VB,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,805000,S,13.5,3,1,1,0,105,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,760000,PI,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,752000,S,13.5,3,1,1,265,130,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,580000,VB,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,725000,PI,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,758000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,440000,S,13.5,2,1,1,192,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,970000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,5,h,755000,PI,13.5,3,2,2,596,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,985000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,700000,PI,13.5,3,2,2,165,133,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,509500,SP,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,830000,S,13.5,3,1,2,971,113,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,462500,S,13.5,2,1,1,164,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,670000,SP,13.5,3,2,2,657,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,h,675000,S,13.5,2,1,1,612,100,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,1042000,S,13.5,3,2,5,612,174,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,910000,S,13.5,3,1,1,775,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,773000,S,13.5,5,3,4,531,309,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,715000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,810000,PI,13.5,3,3,2,555,192,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,715000,S,13.5,3,2,2,422,126,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,790000,S,13.5,3,1,3,614,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,460000,VB,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,540000,SP,13.5,2,2,1,161,101,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,825000,SP,13.5,3,2,1,293,102,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,685000,S,13.5,3,1,1,579,113,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,445000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,805000,S,13.5,3,1,1,623,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,510000,S,13.5,2,1,1,141,76,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,612000,S,13.5,3,2,1,212,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,662000,S,13.5,3,1,2,612,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,978000,S,13.5,4,3,2,532,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,720000,PI,13.5,3,1,1,585,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,474000,PI,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,490000,SP,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,405000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,715000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,671500,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,765000,S,13.5,4,1,2,509,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,900000,S,13.5,4,2,3,628,146,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,820000,S,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,650000,PI,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,552000,SP,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Albert Park,2,h,1275000,S,3.3,2,1,0,120,82,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1455000,S,3.3,2,1,0,159,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2850000,PI,3.3,3,2,0,211,198,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1850000,S,3.3,3,2,0,128,133,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1436000,S,3.3,2,1,0,130,81,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1110000,S,3.3,1,1,0,147,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1550000,S,3.3,2,1,1,167,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,2300000,S,3.3,4,2,1,153,180,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,t,1550000,VB,3.3,3,2,2,718,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1800000,VB,3.3,3,2,1,132,159,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2485000,S,3.3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,2120000,S,3.3,2,1,1,199,107,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1800000,VB,3.3,3,1,1,253,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1800000,S,3.3,3,2,1,90,122,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1810000,PI,3.3,2,1,0,240,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2615000,S,3.3,3,2,1,177,181,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,5,h,2100000,S,3.3,5,2,1,237,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1300000,S,3.3,3,1,0,129,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1370000,S,3.3,3,2,2,0,85,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1000000,S,3.3,2,1,0,288,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2575000,S,3.3,3,2,1,228,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1322500,S,3.3,2,1,0,149,98,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1562500,S,3.3,2,1,0,141,83,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2000000,VB,3.3,3,2,1,211,147,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1900000,S,3.3,3,1,0,209,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,3010000,S,3.3,3,2,0,147,146,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,2800000,VB,3.3,4,3,1,327,254,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,u,647000,S,3.3,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2100000,SP,3.3,2,1,1,120,123,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2000000,PI,3.3,3,1,1,238,131,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,1,u,442500,S,3.3,1,1,0,0,34,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,4735000,S,3.3,4,2,1,330,207,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1340000,S,3.3,2,1,0,136,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1801000,S,3.3,3,1,1,202,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1532000,S,3.3,3,3,1,0,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,3755000,S,3.3,3,2,2,325,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,2140000,S,3.3,3,2,1,183,145,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,u,1810000,PI,3.3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1750000,S,3.3,2,1,1,162,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,980000,S,3.3,2,1,0,79,68,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2030000,S,3.3,3,2,0,152,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1740000,PI,3.3,3,2,2,147,134,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2800000,VB,3.3,3,3,1,0,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,1,h,985000,S,3.3,1,1,0,81,54,Port Phillip City Council,Southern Metropolitan,3280
Alphington,4,h,2000000,S,6.4,3,2,4,853,263,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1110000,S,6.4,3,2,2,208,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1492000,S,6.4,3,2,2,411,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,480000,PI,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,t,1304000,SP,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1717500,S,6.4,4,2,1,599,203,Darebin City Council,Northern Metropolitan,2211
Alphington,5,h,2840000,S,6.4,5,4,4,809,165,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,525500,S,6.4,2,1,1,88,60,Darebin City Council,Northern Metropolitan,2211
Alphington,2,t,805000,S,6.4,2,2,3,155,140,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,465000,S,6.4,2,1,1,0,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1480000,S,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,2000000,PI,6.4,3,3,2,686,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1540000,S,6.4,3,1,2,592,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,590000,PI,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,820000,S,6.4,2,1,1,183,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1830000,S,6.4,4,2,2,606,112,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,2100000,S,6.4,4,2,2,575,271,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,865000,SP,6.4,3,1,1,180,131,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,390000,VB,6.4,2,1,1,0,60,Darebin City Council,Northern Metropolitan,2211
Alphington,2,t,650000,SP,6.4,0,1,0,0,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,512000,S,6.4,2,1,1,0,61,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1361000,S,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1310000,S,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,570000,VB,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1165000,S,6.4,3,1,2,979,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,530000,S,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1900000,SP,6.4,4,2,2,556,272,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1485000,SP,6.4,3,0,0,597,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1950000,S,6.4,4,2,3,589,210,Darebin City Council,Northern Metropolitan,2211
Altona,3,h,520000,VB,13.8,3,2,1,352,242,Hobsons Bay City Council,Western Metropolitan,5301
Altona,5,h,1525000,S,13.8,5,3,3,729,268,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,t,720000,S,13.8,2,1,2,292,125,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,1120000,S,13.8,3,1,2,506,120,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,780000,PI,13.8,4,1,4,655,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,1780000,SP,13.8,4,3,6,1057,220,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,630000,S,13.8,2,1,2,311,94,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,406000,SP,13.8,2,1,1,65,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,660000,VB,13.8,3,1,1,602,123,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,683500,S,13.8,3,1,1,530,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,540000,VB,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,580000,S,13.8,2,1,1,225,93,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,1335000,S,13.8,3,1,4,777,22,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,800000,SP,13.8,3,2,2,280,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,510000,S,13.8,2,1,1,127,76,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,1070000,S,13.8,4,2,2,695,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,425000,S,13.8,2,1,2,115,57,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,605000,S,13.8,3,2,2,230,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,705000,S,13.8,3,2,2,197,152,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,391000,SP,13.8,2,1,1,0,65,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,440000,SP,13.8,2,1,1,0,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,845000,S,13.8,4,1,2,745,130,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,766000,S,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,743000,SP,13.8,3,2,2,211,176,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,650000,SP,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,730000,SP,13.8,3,2,1,69,141,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,916500,S,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,635000,S,13.8,3,1,4,625,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,620000,SP,13.8,2,1,1,168,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,447000,S,13.8,2,1,1,137,77,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,730000,SP,13.8,3,2,1,70,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,678000,S,13.8,3,1,2,606,87,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,580000,PI,13.8,2,2,1,175,76,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,712000,S,13.8,3,1,2,363,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,840000,SP,13.8,3,2,2,534,136,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,980000,S,13.8,3,1,2,724,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,1000000,S,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,605100,S,13.8,3,2,0,265,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,880000,PI,13.8,3,3,1,577,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,577000,S,13.8,3,2,1,205,113,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,1030000,S,13.8,4,1,0,797,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,605000,S,13.8,3,1,2,181,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,685000,S,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,753000,S,13.8,3,2,2,529,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,h,857000,SP,13.8,2,2,1,675,100,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,1500000,S,13.8,3,1,1,929,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,730000,SP,13.8,3,2,1,70,3,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,900000,S,13.8,3,1,4,697,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,740000,S,13.8,3,1,2,604,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,931000,S,13.8,4,2,3,532,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,h,535600,SP,13.8,2,1,1,154,91,Hobsons Bay City Council,Western Metropolitan,5301
Altona North,5,h,1085000,S,11.1,5,3,6,592,251,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,781000,S,11.1,3,1,2,533,117,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,h,857500,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,h,960000,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,750000,SP,11.1,3,1,3,554,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,2,t,421000,S,11.1,2,1,1,77,77,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,1405000,S,11.1,3,1,3,655,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,683000,S,11.1,3,1,2,534,167,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,623000,S,11.1,3,1,3,540,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,720000,VB,11.1,3,2,1,0,130,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,t,780000,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,u,720000,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,705000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,588000,S,11.1,3,1,1,328,118,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,h,720000,VB,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,710000,PI,11.1,3,1,3,540,116,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,2,h,550000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,u,640000,VB,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,537500,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,h,875000,SP,11.1,3,1,4,559,169,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,800000,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,t,713500,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,700000,VB,11.1,3,1,3,554,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,2,h,551000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,685000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,2,t,640000,S,11.1,2,1,1,252,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,h,650000,SP,11.1,4,1,4,558,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,925000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,t,670000,VB,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,680000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,765000,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,675000,S,11.1,3,2,2,171,109,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,h,708000,S,11.1,3,1,2,585,97,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,3,t,656000,SP,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
Altona North,4,h,883000,S,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
